"id","gloss","stem","actual_phonology","model_phonology","type","language","num_morphemes","num_tokens","utterance_order","corpus_name","part_of_speech","speaker_code","speaker_name","speaker_role","target_child_name","target_child_age","target_child_sex","media_start","media_end","media_unit","collection_name","collection_id","corpus_id","speaker_id","target_child_id","transcript_id","clean_utterances","bin","dont_pos","condensed_pos","do"
297971,"mm he's a doggy but he doesn't look like Gracie","mm he a dog but he do look like Gracie","",NA,"declarative","eng",15,10,244,"Valian","co pro:sub det:art adj conj pro:sub mod v conj n:prop","MOT",NA,"Mother",NA,27.6576521078462,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3319,"mm he's a doggy but he doesn't look like Gracie","27-28","co pro:sub det:art adj conj pro:sub doesn't v conj n:prop","co n det adj conj n mod v conj n","doesn't"
298112,"I bet she doesn't know what it's called","I bet she do know what it call","",NA,"declarative","eng",13,8,247,"Valian","pro:sub v pro:sub mod v pro:int pro:per part","MOT",NA,"Mother",NA,31.8220086654757,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3320,"I bet she doesn't know what it's called","31-32","pro:sub v pro:sub doesn't v pro:int pro:per part","n v n mod v n n part","doesn't"
298812,"you better go ask her if she doesn't mind waiting until eight thirty","you good go ask her if she do mind wait until eight thirty","",NA,"declarative","eng",17,13,441,"Valian","pro:per adj v v pro:obj conj pro:sub mod n part conj det:num det:num","MOT",NA,"Mother",NA,21.8218033224502,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3313,"you better go ask her if she doesn't mind waiting until eight thirty","21-22","pro:per adj v v pro:obj conj pro:sub doesn't n part conj det:num det:num","n adj v v n conj n mod n part conj det det","doesn't"
298938,"oh he doesn't","oh he do","",NA,"declarative","eng",5,3,447,"Valian","co pro:sub mod","MOT",NA,"Mother",NA,21.8218033224502,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3313,"oh he doesn't","21-22","co pro:sub doesn't","co n mod","doesn't"
299862,"he doesn't have a hat or a jacket","he do have a hat or a jacket","",NA,"declarative","eng",10,8,415,"Valian","pro:sub mod v det:art n coord det:art n","MOT",NA,"Mother",NA,29.0663052629417,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3323,"he doesn't have a hat or a jacket","29-30","pro:sub doesn't v det:art n coord det:art n","n mod v det n coord det n","doesn't"
299868,"I think that's the only crayon that doesn't have a name on it","I think that the only crayon that do have a name on it","",NA,"declarative","eng",16,13,136,"Valian","pro:sub v pro:dem det:art qn n pro:dem mod v det:art n prep pro:per","MOT",NA,"Mother",NA,30.7891332470893,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3322,"I think that's the only crayon that doesn't have a name on it","30-31","pro:sub v pro:dem det:art qn n pro:dem doesn't v det:art n prep pro:per","n v n det qn n n mod v det n prep n","doesn't"
299936,"it doesn't even say Crayola on it","it do even say Crayola on it","",NA,"declarative","eng",9,7,139,"Valian","pro:per mod adv v n:prop prep pro:per","MOT",NA,"Mother",NA,30.7891332470893,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3322,"it doesn't even say Crayola on it","30-31","pro:per doesn't adv v n:prop prep pro:per","n mod adv v n prep n","doesn't"
300468,"oh it doesn't smell like a peach","oh it do smell like a peach","",NA,"declarative","eng",9,7,163,"Valian","co pro:per mod n prep det:art n","MOT",NA,"Mother",NA,30.7891332470893,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3322,"oh it doesn't smell like a peach","30-31","co pro:per doesn't n prep det:art n","co n mod n prep det n","doesn't"
301108,"he doesn't have any friends down there","he do have any friend down there","",NA,"declarative","eng",10,7,471,"Valian","pro:sub mod v qn n prep n","MOT",NA,"Mother",NA,29.0663052629417,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3323,"he doesn't have any friends down there","29-30","pro:sub doesn't v qn n prep n","n mod v qn n prep n","doesn't"
302691,"but like she doesn't know all her colors or her numbers and things","but like she do know all her color or her number and thing","",NA,"declarative","eng",18,13,379,"Valian","conj conj pro:sub mod v qn det:poss n coord det:poss n coord n","MOT",NA,"Mother",NA,29.2305796833611,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3326,"but like she doesn't know all her colors or her numbers and things","29-30","conj conj pro:sub doesn't v qn det:poss n coord det:poss n coord n","conj conj n mod v qn det n coord det n coord n","doesn't"
302725,"he doesn't have a tail","he do have a tail","",NA,"question","eng",7,5,549,"Valian","pro:sub mod v det:art n","MOT",NA,"Mother",NA,29.0663052629417,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3323,"he doesn't have a tail","29-30","pro:sub doesn't v det:art n","n mod v det n","doesn't"
302984,"he doesn't do that that much","he do do that that much","",NA,"declarative","eng",8,6,287,"Valian","pro:sub mod v pro:dem adv adv","MOT",NA,"Mother",NA,30.7891332470893,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3322,"he doesn't do that that much","30-31","pro:sub doesn't do pro:dem adv adv","n mod v n adv adv","doesn't"
303438,"what does it have if it doesn't have a propeller","what do it have if it do have a propel","",NA,"question","eng",15,10,343,"Valian","pro:int mod pro:per v conj pro:per mod v det:art n","MOT",NA,"Mother",NA,32.0006570976817,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3324,"what does it have if it doesn't have a propeller","32-33","pro:int does pro:per v conj pro:per doesn't v det:art n","n mod n v conj n mod v det n","doesn't"
303577,"she doesn't know how to play your piano","she do know how to play your piano","",NA,"declarative","eng",10,8,759,"Valian","pro:sub mod v pro:int inf v det:poss n","MOT",NA,"Mother",NA,21.9203679747017,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3310,"she doesn't know how to play your piano","21-22","pro:sub doesn't v pro:int inf v det:poss n","n mod v n inf v det n","doesn't"
307767,"if she doesn't remember today she'll bring it tomorrow","if she do remember today she bring it tomorrow","",NA,"declarative","eng",12,9,925,"Valian","conj pro:sub mod v adv:tem pro:sub v pro:per adv:tem","MOT",NA,"Mother",NA,21.8218033224502,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3313,"if she doesn't remember today she'll bring it tomorrow","21-22","conj pro:sub doesn't v adv:tem pro:sub v pro:per adv:tem","conj n mod v adv n v n adv","doesn't"
308393,"it doesn't turn it pushes","it do turn it push","",NA,"declarative","eng",8,5,817,"Valian","pro:per mod n pro:per v","MOT",NA,"Mother",NA,27.6576521078462,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3319,"it doesn't turn it pushes","27-28","pro:per doesn't n pro:per v","n mod n n v","doesn't"
308430,"but it doesn't work because all the money's gone","but it do work because all the money go","",NA,"declarative","eng",14,9,819,"Valian","conj pro:per mod n conj qn det:art adj part","MOT",NA,"Mother",NA,27.6576521078462,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3319,"but it doesn't work because all the money's gone","27-28","conj pro:per doesn't n conj qn det:art adj part","conj n mod n conj qn det adj part","doesn't"
310716,"it doesn't fit under the sofa","it do fit under the sofa","",NA,"declarative","eng",9,6,164,"Valian","pro:per mod v prep det:art n","MOT",NA,"Mother",NA,28.0662847286392,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3330,"it doesn't fit under the sofa","28-29","pro:per doesn't v prep det:art n","n mod v prep det n","doesn't"
310751,"he doesn't fit there honey","he do fit there honey","",NA,"declarative","eng",8,5,848,"Valian","pro:sub mod v adv n","MOT",NA,"Mother",NA,29.2305796833611,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3326,"he doesn't fit there honey","29-30","pro:sub doesn't v adv n","n mod v adv n","doesn't"
311396,"he doesn't","he do","",NA,"question","eng",4,2,650,"Valian","pro:sub mod","MOT",NA,"Mother",NA,27.5590874555946,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3328,"he doesn't","27-28","pro:sub doesn't","n mod","doesn't"
311429,"no he doesn't","no he do","",NA,"declarative","eng",5,3,652,"Valian","co pro:sub mod","MOT",NA,"Mother",NA,27.5590874555946,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3328,"no he doesn't","27-28","co pro:sub doesn't","no:co n mod","doesn't"
311883,"this is just so_that it doesn't get dirty","this be just so_that it do get dirt","",NA,"declarative","eng",13,8,237,"Valian","pro:dem cop adv conj pro:per mod v adj","MOT",NA,"Mother",NA,28.0662847286392,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3330,"this is just so_that it doesn't get dirty","28-29","pro:dem cop adv conj pro:per doesn't v adj","n cop adv conj n mod v adj","doesn't"
312452,"that doesn't look like a monkey","that do look like a monkey","",NA,"declarative","eng",8,6,1072,"Valian","pro:dem mod v conj det:art n","FAT",NA,"Father",NA,27.6576521078462,"female",NA,NA,NA,"Eng-NA",2,33,1707,1704,3319,"that doesn't look like a monkey","27-28","pro:dem doesn't v conj det:art n","n mod v conj det n","doesn't"
312694,"she doesn't have a name yet","she do have a name yet","",NA,"declarative","eng",8,6,734,"Valian","pro:sub mod v det:art n adv","MOT",NA,"Mother",NA,27.5590874555946,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3328,"she doesn't have a name yet","27-28","pro:sub doesn't v det:art n adv","n mod v det n adv","doesn't"
314267,"she doesn't even have a puppy Child","she do even have a puppy Child","",NA,"declarative","eng",9,7,421,"Valian","pro:sub mod v v det:art n n:prop","MOT",NA,"Mother",NA,28.2634140331424,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3332,"she doesn't even have a puppy Child","28-29","pro:sub doesn't v v det:art n n:prop","n mod v v det n n","doesn't"
314813,"she doesn't know which egg is hers","she do know which egg be hers","",NA,"declarative","eng",10,7,171,"Valian","pro:sub mod v pro:int n cop pro:poss","MOT",NA,"Mother",NA,29.1648699151933,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3336,"she doesn't know which egg is hers","29-30","pro:sub doesn't v pro:int n cop pro:poss","n mod v n n cop n","doesn't"
315057,"can you tell her what he doesn't do because he doesn't have batteries","can you tell her what he do do because he do have battery","",NA,"question","eng",18,13,311,"Valian","mod pro:per v pro:obj pro:int pro:sub mod v conj pro:sub mod v n","MOT",NA,"Mother",NA,30.8219881311731,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3331,"can you tell her what he doesn't do because he doesn't have batteries","30-31","mod pro:per v pro:obj pro:int pro:sub doesn't do conj pro:sub doesn't v n","mod n v n n n mod v conj n mod v n","doesn't"
315100,"she doesn't have any mittens though does she","she do have any mitten though do she","",NA,"question","eng",12,8,874,"Valian","pro:sub mod v qn n adv v pro:sub","MOT",NA,"Mother",NA,27.5590874555946,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3328,"she doesn't have any mittens though does she","27-28","pro:sub doesn't v qn n adv does pro:sub","n mod v qn n adv v n","doesn't"
315223,"she doesn't like that","she do like that","",NA,"declarative","eng",6,4,322,"Valian","pro:sub mod prep pro:dem","MOT",NA,"Mother",NA,30.8219881311731,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3331,"she doesn't like that","30-31","pro:sub doesn't prep pro:dem","n mod prep n","doesn't"
317921,"she doesn't need one","she do need one","",NA,"question","eng",6,4,1226,"Valian","pro:sub mod v pro:indef","MOT",NA,"Mother",NA,30.7891332470893,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3322,"she doesn't need one","30-31","pro:sub doesn't v pro:indef","n mod v n","doesn't"
318104,"no he doesn't work at Place","no he do work at Place","",NA,"declarative","eng",8,6,624,"Valian","co pro:sub mod v prep n:prop","MOT",NA,"Mother",NA,28.0662847286392,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3330,"no he doesn't work at Place","28-29","co pro:sub doesn't v prep n:prop","no:co n mod v prep n","doesn't"
318798,"she doesn't usually let Child play with that toy","she do usual let Child play with that toy","",NA,"declarative","eng",14,9,602,"Valian","pro:sub mod adv part n:prop n prep det:dem n","MOT",NA,"Mother",NA,28.7562372944003,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3333,"she doesn't usually let Child play with that toy","28-29","pro:sub doesn't adv part n:prop n prep det:dem n","n mod adv part n n prep det n","doesn't"
323249,"no she doesn't","no she do","",NA,"declarative","eng",5,3,528,"Valian","co pro:sub mod","MOT",NA,"Mother",NA,29.6905480605351,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3340,"no she doesn't","29-30","co pro:sub doesn't","no:co n mod","doesn't"
323551,"like he doesn't wanna finish the z page","like he do want finish the z page","",NA,"declarative","eng",11,8,1105,"Valian","conj pro:sub mod v v det:art n:let n","MOT",NA,"Mother",NA,28.2634140331424,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3332,"like he doesn't wanna finish the z page","28-29","conj pro:sub doesn't v v det:art n:let n","conj n mod v v det n n","doesn't"
323607,"it doesn't look like chicken soup","it do look like chicken soup","",NA,"declarative","eng",8,6,803,"Valian","pro:per mod v co n n","MOT",NA,"Mother",NA,29.1648699151933,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3336,"it doesn't look like chicken soup","29-30","pro:per doesn't v co n n","n mod v co n n","doesn't"
326400,"it doesn't go in there does it","it do go in there do it","",NA,"question","eng",10,7,184,"Valian","pro:per mod v prep n mod pro:per","MOT",NA,"Mother",NA,32.7891743156944,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3343,"it doesn't go in there does it","32-33","pro:per doesn't v prep n does pro:per","n mod v prep n mod n","doesn't"
326614,"he doesn't have a long tail","he do have a long tail","",NA,"declarative","eng",8,6,649,"Valian","pro:sub mod v det:art adj n","MOT",NA,"Mother",NA,29.6905480605351,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3340,"he doesn't have a long tail","29-30","pro:sub doesn't v det:art adj n","n mod v det adj n","doesn't"
326668,"it doesn't come off","it do come off","",NA,"declarative","eng",6,4,149,"Bernstein","pro:per mod v adv","MOT",NA,"Mother","Amelia",20.000410686051,"female",464.837,468.529,"s","Eng-NA",2,34,1717,1716,3353,"it doesn't come off","20-21","pro:per doesn't v adv","n mod v adv","doesn't"
326715,"it doesn't come off","it do come off","",NA,"declarative","eng",6,4,152,"Bernstein","pro:per mod v adv","MOT",NA,"Mother","Amelia",20.000410686051,"female",482.322,483.367,"s","Eng-NA",2,34,1717,1716,3353,"it doesn't come off","20-21","pro:per doesn't v adv","n mod v adv","doesn't"
327619,"yeah I'm trying to fix it so it doesn't fall off hold on a second","yeah I try to fix it so it do fall off hold on a second","",NA,"declarative","eng",19,15,347,"Valian","co pro:sub part inf v pro:per conj pro:per mod v adv n prep det:art n","MOT",NA,"Mother",NA,31.0006365633791,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3344,"yeah I'm trying to fix it so it doesn't fall off hold on a second","31-32","co pro:sub part inf v pro:per conj pro:per doesn't v adv n prep det:art n","co n part inf v n conj n mod v adv n prep det n","doesn't"
327788,"she doesn't know about goochigachi","she do know about goochigachi","",NA,"declarative","eng",7,5,983,"Valian","pro:sub mod v prep fam","MOT",NA,"Mother",NA,29.1648699151933,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3336,"she doesn't know about goochigachi","29-30","pro:sub doesn't v prep fam","n mod v prep fam","doesn't"
328750,"he doesn't have any face","he do have any face","",NA,"declarative","eng",7,5,436,"Bernstein","pro:sub mod v qn n","MOT",NA,"Mother","Amelia",20.000410686051,"female",1425.351,1426.698,"s","Eng-NA",2,34,1717,1716,3353,"he doesn't have any face","20-21","pro:sub doesn't v qn n","n mod v qn n","doesn't"
329031,"that's what ya hold when you take him for a walk so he doesn't run into the street","that what you hold when you take him for a walk so he do run into the street","",NA,"declarative","eng",21,18,204,"Bernstein","pro:dem pro:int pro:per v conj pro:per v pro:obj prep det:art n co pro:sub mod v prep det:art n","MOT",NA,"Mother","Anne",20.000410686051,"female",1069.892,1076.254,"s","Eng-NA",2,34,1722,1719,3356,"that's what ya hold when you take him for a walk so he doesn't run into the street","20-21","pro:dem pro:int pro:per v conj pro:per v pro:obj prep det:art n co pro:sub doesn't v prep det:art n","n n n v conj n v n prep det n co n mod v prep det n","doesn't"
329042,"his thumb is okay but he but he doesn't feel good he has a little cold like you do","his thumb be okay but he but he do feel good he have a little cold like you do","",NA,"declarative","eng",23,19,236,"Bernstein","det:poss n cop adj conj pro:sub conj pro:sub mod v adj pro:sub v det:art adj n v pro:per v","MOT",NA,"Mother","Anne",22.0004517546562,"female",1661.23,1666.547,"s","Eng-NA",2,34,1722,1719,3357,"his thumb is okay but he but he doesn't feel good he has a little cold like you do","22-23","det:poss n cop adj conj pro:sub conj pro:sub doesn't v adj pro:sub v det:art adj n v pro:per do","det n cop adj conj n conj n mod v adj n v det adj n v n v","doesn't"
330194,"no it doesn't go there","no it do go there","",NA,"question","eng",7,5,68,"Bernstein","co pro:per mod v adv","MOT",NA,"Mother","Dale",19.0003901517485,"female",327.435,328.968,"s","Eng-NA",2,34,1727,1724,3362,"no it doesn't go there","19-20","co pro:per doesn't v adv","no:co n mod v adv","doesn't"
330672,"she doesn't wear one does she","she do wear one do she","",NA,"question","eng",9,6,2,"Bernstein","pro:sub mod v det:num v pro:sub","MOT",NA,"Mother","Dale",21.0004312203536,"female",2.412,4.502,"s","Eng-NA",2,34,1727,1724,3363,"she doesn't wear one does she","21-22","pro:sub doesn't v det:num does pro:sub","n mod v det v n","doesn't"
332183,"this is something she doesn't know what to do","this be something she do know what to do","",NA,"declarative","eng",12,9,465,"Valian","pro:dem cop pro:indef pro:sub mod v pro:int inf v","MOT",NA,"Mother",NA,29.000595494774,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3334,"this is something she doesn't know what to do","29-30","pro:dem cop pro:indef pro:sub doesn't v pro:int inf do","n cop n n mod v n inf v","doesn't"
333373,"it doesn't have music honey","it do have music honey","",NA,"declarative","eng",7,5,884,"Valian","pro:per mod v n n","MOT",NA,"Mother",NA,29.6905480605351,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3340,"it doesn't have music honey","29-30","pro:per doesn't v n n","n mod v n n","doesn't"
336218,"she doesn't like this book","she do like this book","",NA,"declarative","eng",7,5,336,"Bernstein","pro:sub mod v det:dem n","MOT",NA,"Mother","Gail",25.0005133575638,"female",1098.053,1099.353,"s","Eng-NA",2,34,1730,1729,3366,"she doesn't like this book","25-26","pro:sub doesn't v det:dem n","n mod v det n","doesn't"
338092,"he doesn't play he really got into it for a while and then","he do play he really get into it for a while and then","",NA,"trail off","eng",16,13,114,"Valian","pro:sub mod n pro:sub adv v prep pro:per prep det:art n coord adv:tem","MOT",NA,"Mother",NA,30.1648904494959,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3346,"he doesn't play he really got into it for a while and then","30-31","pro:sub doesn't n pro:sub adv v prep pro:per prep det:art n coord adv:tem","n mod n n adv v prep n prep det n coord adv","doesn't"
338612,"no it doesn't look like it does","no it do look like it do","",NA,"declarative","eng",10,7,152,"Valian","co pro:per mod v conj pro:per mod","MOT",NA,"Mother",NA,30.1648904494959,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3346,"no it doesn't look like it does","30-31","co pro:per doesn't v conj pro:per does","no:co n mod v conj n mod","doesn't"
339805,"his head is loose and this one doesn't have a loose head","his head be loose and this one do have a loose head","",NA,"declarative","eng",15,12,297,"Valian","det:poss n cop adj coord det:dem pro:indef mod v det:art adj n","MOT",NA,"Mother",NA,31.6905891291402,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3345,"his head is loose and this one doesn't have a loose head","31-32","det:poss n cop adj coord det:dem pro:indef doesn't v det:art adj n","det n cop adj coord det n mod v det adj n","doesn't"
340860,"well she knows real houses she doesn't really have anything that are play houses","well she know real house she do really have anything that be play house","",NA,"declarative","eng",20,14,7,"Bernstein","co pro:sub v adj n pro:sub mod adv v pro:indef pro:rel cop n n","MOT",NA,"Mother",NA,22.0004517546562,NA,NA,NA,NA,"Eng-NA",2,34,1721,1720,3380,"well she knows real houses she doesn't really have anything that are play houses","22-23","co pro:sub v adj n pro:sub doesn't adv v pro:indef pro:rel cop n n","co n v adj n n mod adv v n n cop n n","doesn't"
340947,"she doesn't have a toy phone anymore","she do have a toy phone anymore","",NA,"declarative","eng",9,7,26,"Bernstein","pro:sub mod v det:art n n adv","MOT",NA,"Mother",NA,22.0004517546562,NA,NA,NA,NA,"Eng-NA",2,34,1721,1720,3380,"she doesn't have a toy phone anymore","22-23","pro:sub doesn't v det:art n n adv","n mod v det n n adv","doesn't"
340954,"she useta but she doesn't any more","she used but she do any more","",NA,"declarative","eng",10,7,27,"Bernstein","pro:sub mod conj pro:sub mod qn pro:indef","MOT",NA,"Mother",NA,22.0004517546562,NA,NA,NA,NA,"Eng-NA",2,34,1721,1720,3380,"she useta but she doesn't any more","22-23","pro:sub mod conj pro:sub doesn't qn pro:indef","n mod conj n mod qn n","doesn't"
342091,"he doesn't come out honey","he do come out honey","",NA,"declarative","eng",7,5,279,"Bernstein","pro:sub mod v adv n","MOT",NA,"Mother","Marie",22.0004517546562,"female",1269.807,1272.245,"s","Eng-NA",2,34,1737,1736,3375,"he doesn't come out honey","22-23","pro:sub doesn't v adv n","n mod v adv n","doesn't"
342317,"nope it doesn't open but you know what","nope it do open but you know what","",NA,"question","eng",10,8,434,"Valian","co pro:per mod v conj pro:per v pro:int","MOT",NA,"Mother",NA,31.6905891291402,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3345,"nope it doesn't open but you know what","31-32","co pro:per doesn't v conj pro:per v pro:int","co n mod v conj n v n","doesn't"
342381,"because they're Investigator's toy and he doesn't wanna lose them","because they Investigator toy and he do want lose them","",NA,"declarative","eng",16,10,1248,"Valian","conj pro:sub adj n coord pro:sub mod v v pro:obj","MOT",NA,"Mother",NA,29.000595494774,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3341,"because they're Investigator's toy and he doesn't wanna lose them","29-30","conj pro:sub adj n coord pro:sub doesn't v v pro:obj","conj n adj n coord n mod v v n","doesn't"
342768,"if Lala doesn't live there anymore she doesn't need the prediction","if Lala do live there anymore she do need the prediction","",NA,"declarative","eng",15,11,493,"Valian","conj n:prop mod v adv adv pro:sub mod v det:art n","MOT",NA,"Mother",NA,31.6905891291402,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3345,"if Lala doesn't live there anymore she doesn't need the prediction","31-32","conj n:prop doesn't v adv adv pro:sub doesn't v det:art n","conj n mod v adv adv n mod v det n","doesn't"
343041,"she doesn't under stand that concept","she do under stand that concept","",NA,"declarative","eng",8,6,1,"Bernstein","pro:sub mod adv v det:dem n","MOT",NA,"Mother",NA,20.000410686051,NA,NA,NA,NA,"Eng-NA",2,34,1721,1720,3382,"she doesn't under stand that concept","20-21","pro:sub doesn't adv v det:dem n","n mod adv v det n","doesn't"
343397,"he doesn't","he do","",NA,"question","eng",4,2,1076,"Valian","pro:sub mod","MOT",NA,"Mother",NA,30.3948746380829,"female",NA,NA,NA,"Eng-NA",2,33,1705,1704,3347,"he doesn't","30-31","pro:sub doesn't","n mod","doesn't"
