Domain	Function	Head	Negator	Aux	Aux_stem	Subj	Subj_stem	Role	Utterance	Age
learning	labeling	o	not	n	Rossy	I	I	Target_Child	I 'm not Rossy cause the littlest is Marky	65
learning	labeling	o	not	adj	dirt	they	they	Father	oh no they 're not dirty	65
learning	labeling	know	not	n	lamp	you	you	Father	how do you know that they 're not lamps	65
learning	labeling	o	not	n	Brian	I	I	Target_Child	no I 'm not Brian no no no no no	65
learning	labeling	o	not	adj	nice	that	that	Mother	that 's not nice	30
learning	labeling	o	n't	pro	he	man	man	Mother	the man was n't there this morning was he	26
learning	labeling	o	not	adj	sure	I	I	Mother	I 'm not sure whether you 're copying me because I 'm sneezing a lot or whether you 're probably thinking about	26
learning	labeling	o	not	adj	bad	it	it	Mother	it 's not too bad in a strawberry	26
learning	labeling	o	not	adj	nice	they	they	Mother	they 're not really nice	26
learning	labeling	o	not	adj	nice	that	that	Mother	that 's not nice	26
learning	labeling	o	n't	adj	hard	chair	chair	Mother	but your chair is n't hard to sit on because it as got that lovely soft padding	26
learning	labeling	o	n't	n	time	it	it	Mother	it was n't drum time because the man was n't there	26
learning	labeling	o	not	n	grape	they	they	Mother	but they 're not grapes	26
learning	labeling	think	n't	adj	wrong	I	I	Mother	and I think she was n't far wrong was she	26
learning	labeling	o	not	n	toy	they	they	Mother	they 're not toys	26
learning	labeling	o	n't	n	cut	arm	arm	Mother	your arm is n't cut but it looks as if it 's bruised	26
learning	labeling	say	n't	n	thing	I	I	Mother	I said it was n't nice throwing things did n't I	26
learning	labeling	o	n't	n	box	it	it	Mother	it was n't a green box	26
learning	labeling	o	not	n	cone	they	they	Mother	they 're not cones like the cones we 've just been playing with	26
learning	labeling	stay	not	adj	sun	weather	weather	Mother	so if the weather stays nice even if it 's not sunny but it 's still dry we 'll sit outside and have some tea shall we	26
learning	labeling	o	n't	pro	they	men	man	Mother	the bin men are n't coming today are they	26
learning	labeling	bet	not	n	Mister_Fox	I	I	Mother	I bet it 's not Mister_Fox that as ripped open the bin bag	26
learning	labeling	say	n't	n	toy	I	I	Mother	because earlier on I said something was n't a toy	26
learning	labeling	say	not	n	toy	I	I	Mother	I think we were talking about the cones and I said it 's not a toy	26
learning	labeling	o	not	n	Eleanor	that	that	Mother	that 's not very nice Eleanor	24
learning	labeling	o	not	n	chicken	it	it	Mother	it 's not chicken	58
learning	labeling	o	not	pro	more	mommy	mommy	Target_Child	mommy mommy is not in our class no more	58
learning	labeling	o	not	n	rice	that	that	Target_Child	that 's not rice	58
learning	labeling	o	not	pro	mine	that	that	Target_Child	is n't that 's not mine	58
learning	labeling	o	not	n	camel	that	that	Mother	that 's not a camel that 's a horse	21
learning	labeling	o	not	n	camel	that	that	Mother	that 's not a camel	21
learning	labeling	o	not	n	plate	that	that	Mother	that 's not a big plate	21
learning	labeling	o	not	n	iron	that	that	Mother	that 's not the iron	21
learning	labeling	o	not	n	night	it	it	Mother	no it 's not the night before Christmas	58
learning	labeling	o	not	adj	bad	watermelon	watermelon's	Mother	watermelon 's not bad but all mixed up together must be terrible	58
learning	labeling	o	n't	adj	hungry	he	he	Mother	now he was n't hungry anymore	58
learning	labeling	o	n't	n	caterpillar	he	he	Mother	and he was n't a little caterpillar anymore	58
learning	labeling	o	not	adj	good	we	we	Mother	no we 're not in the book very good	58
learning	labeling	o	not	n	Alfie	he	he	Mother	he 's not Alfie	36
learning	labeling	o	not	pro	yours	it	it	Mother	it 's not yours to keep	58
learning	labeling	o	n't	adj	scare	NONE	NONE	Target_Child	that was n't scary	31
learning	labeling	frustrate	not	n	puzzle	it	it	Mother	well it 's frustrating because the puzzle is not a very good puzzle it does n't stay together	22
learning	labeling	know	n't	n	puzzle	you	you	Mother	these are n't easy puzzles to do you know	22
learning	labeling	think	no	n	room	I	I	Mother	I think we should clean up just a little bit because there 's no room to play here	22
learning	labeling	o	not	n	word	it	it	Mother	and besides it 's not really a word	22
learning	labeling	o	not	n	giraffe	it	it	Mother	it 's not a giraffe	24
learning	labeling	o	n't	n	look	he	he	Mother	when he is n't looking just touch his curly tail	24
learning	labeling	o	n't	adj	fond	he	he	Mother	and he is n't fond of that	24
learning	labeling	o	n't	adj	hungry	he	he	Mother	now he was n't hungry anymore and he was n't a little caterpillar anymore	67
learning	labeling	be	n't	n	caterpillar	he	he	Mother	now he was n't hungry anymore and he was n't a little caterpillar anymore	67
learning	labeling	o	not	adj	big	that	that	Target_Child	that 's not as big as he is now	67
learning	labeling	o	not	adj	tall	elephants	elephant	Mother	Asian elephants are not as tall as their African cousins	67
learning	labeling	o	not	n	elephant	I	I	Target_Child	yeah but I 'm not an elephant	67
learning	labeling	o	n't	adj	hungry	he	he	Mother	now he was n't hungry anymore and he was n't a little caterpillar anymore	43
learning	labeling	be	n't	n	caterpillar	he	he	Mother	now he was n't hungry anymore and he was n't a little caterpillar anymore	43
learning	labeling	o	n't	n	god	it	it	Mother	it is n't there oh my god	43
learning	labeling	o	n't	adj	hungry	Malcolm	Malcolm	Mother	Malcolm was n't very hungry at dinner time	43
learning	labeling	o	n't	adj	hungry	he	he	Mother	now he was n't as hungry anymore	45
learning	labeling	o	n't	n	caterpillar	he	he	Mother	and he was n't a little caterpillar anymore	45
learning	labeling	learn	not	n	lot	they	they	Mother	but they soon learned that Mister Blandsworth was not a lot of fun	45
learning	labeling	o	not	n	success	they	they	Mother	they were not a success	45
learning	labeling	o	n't	pro	that	NONE	NONE	Mother	is n't that boring	45
learning	labeling	o	not	n	Miss	you	you	Mother	you 're not Miss Nelson said Mister Blandsworth	45
learning	labeling	o	not	n	mother	kitten	kitten	Mother	the kitten was not his mother so he went on	45
learning	labeling	o	not	n	mother	kitten	kitten	Mother	the kitten was not his mother the hen was not his mother so the baby rode along	45
learning	labeling	mother	not	n	mother	hen	hen	Mother	the kitten was not his mother the hen was not his mother so the baby rode along	45
learning	labeling	o	not	n	mother	I	I	Mother	I am not your mother I am a dog he said	45
learning	labeling	o	not	n	mother	kitten	kitten	Mother	the kitten was not his mother the hen was not his mother the dog was not his mother	45
learning	labeling	mother	not	n	mother	hen	hen	Mother	the kitten was not his mother the hen was not his mother the dog was not his mother	45
learning	labeling	mother	not	n	mother	dog	dog	Mother	the kitten was not his mother the hen was not his mother the dog was not his mother	45
learning	labeling	o	not	n	mother	kitten	kitten	Mother	the kitten was not his mother	45
learning	labeling	o	not	n	mother	kitten	kitten	Mother	the kitten and the hen were not his mother	45
learning	labeling	o	not	n	mother	dog	dog	Mother	the dog and the cow were not his mother	45
learning	labeling	o	not	n	kitten	you	you	Mother	you are not a kitten you are not a dog you are not a hen you are not a cow you are not a boat you are not a plane you are not a snort	45
learning	labeling	kitten	not	n	dog	you	you	Mother	you are not a kitten you are not a dog you are not a hen you are not a cow you are not a boat you are not a plane you are not a snort	45
learning	labeling	dog	not	n	hen	you	you	Mother	you are not a kitten you are not a dog you are not a hen you are not a cow you are not a boat you are not a plane you are not a snort	45
learning	labeling	hen	not	n	cow	you	you	Mother	you are not a kitten you are not a dog you are not a hen you are not a cow you are not a boat you are not a plane you are not a snort	45
learning	labeling	cow	not	n	boat	you	you	Mother	you are not a kitten you are not a dog you are not a hen you are not a cow you are not a boat you are not a plane you are not a snort	45
learning	labeling	boat	not	n	plane	you	you	Mother	you are not a kitten you are not a dog you are not a hen you are not a cow you are not a boat you are not a plane you are not a snort	45
learning	labeling	plane	not	n	snort	you	you	Mother	you are not a kitten you are not a dog you are not a hen you are not a cow you are not a boat you are not a plane you are not a snort	45
learning	labeling	o	not	adj	sure	I	I	Mother	I 'm not sure where this bit goes	29
learning	labeling	o	not	adj	nice	that	that	Mother	that 's not nice	29
learning	labeling	o	not	n	boy	I	I	Target_Child	I 'm not a boy	29
learning	labeling	o	not	adj	smell	it	it	Mother	it 's not smelly	29
learning	labeling	o	not	n	baby	I	I	Target_Child	I 'm not a baby	29
learning	labeling	o	not	n	bread	that	that	Target_Child	that 's not the bread	29
learning	labeling	o	not	adj	nice	it	it	Target_Child	it 's not nice to get sick	33
learning	labeling	o	n't	adj	hungry	he	he	Mother	now he was n't hungry anymore and he was n't a a little caterpillar anymore	59
learning	labeling	be	n't	n	caterpillar	he	he	Mother	now he was n't hungry anymore and he was n't a a little caterpillar anymore	59
learning	labeling	o	n't	pro	more	he	he	Mother	now he was n't hungry any more	59
learning	labeling	o	n't	n	caterpillar	he	he	Mother	and he was n't a little caterpillar anymore	59
learning	labeling	guess	n't	n	idea	I	I	Mother	I guess it was n't a good idea huh Chi	59
learning	labeling	o	not	n	person	that	that	Target_Child	that 's not a people	59
learning	labeling	o	not	n	person	that	that	Target_Child	that 's not a people	59
learning	labeling	o	not	adj	sophisticated	it	it	Mother	but it 's not sophisticated	20
learning	labeling	o	not	adj	nice	it	it	Mother	it 's not nice	29
learning	labeling	o	not	adj	nice	that	that	Mother	no that 's not nice	29
learning	labeling	tell	not	n	fit	you	you	Mother	when Grandma and Granddad come I think I 'm going to tell them that you 're not really fit to go out today	29
learning	labeling	o	not	pro	yours	they	they	Target_Child	you can but they 're not yours	45
learning	labeling	o	not	pro	mine	they	they	Mother	no they 're not mine	45
learning	labeling	o	not	adj	good	that	that	Mother	no that 's not good enough	45
learning	labeling	o	not	adj	right	that	that	Mother	no that 's not right is it	45
learning	labeling	o	not	n	baby	you	you	Mother	but you 're not a heavy baby	13
learning	labeling	o	not	n	baby	I	I	Mother	I 'm not a heavy baby Mom	13
learning	labeling	o	n't	n	sweetiepie	NONE	NONE	Mother	is n't that great sweetiepie	13
learning	labeling	o	n't	adj	pretty	NONE	NONE	Mother	is n't that a pretty present	13
learning	labeling	o	n't	adj	neat	NONE	NONE	Mother	is n't that neat Maggie	13
learning	labeling	o	not	n	baby	he	he	Target_Child	he 's not a baby	29
learning	labeling	o	not	n	farm	he	he	Target_Child	he 's not a farmer	29
learning	labeling	o	n't	n	farm	cow	cow	Mother	oh the cow is n't a farmer	29
learning	labeling	o	not	adj	mud	it	it	Target_Child	yes it 's not muddy	29
learning	labeling	o	not	adj	nice	that	that	Mother	that 's not nice	48
learning	labeling	o	not	n	toy	it	it	Mother	it 's not a toy	48
learning	labeling	o	not	adj	sure	she	she	Mother	she 's not sure what it is	24
learning	labeling	o	n't	n	man	it	it	Mother	it is n't a man	24
learning	labeling	o	not	n	cardigan	it	it	Mother	it 's not a cardigan	24
learning	labeling	o	not	n	daddy	it	it	Mother	no it 's not daddy	24
learning	labeling	o	n't	n	man	it	it	Mother	it was n't a man	24
learning	labeling	o	not	n	necklace	it	it	Mother	it 's not a necklace	24
learning	labeling	o	not	n	ball	that	that	Mother	that 's not a ball	29
learning	labeling	o	n't	adj	happy	I	I	Mother	and I was n't happy	29
learning	labeling	o	not	n	Mummy	that	that	Target_Child	that 's not your Mummy cause it 's Mummy	29
learning	labeling	o	n't	adj	fast	's	be	Target_Child	that 's is n't faster	30
learning	labeling	o	not	adj	okay	you	you	Target_Child	you 're not okay	30
learning	labeling	o	not	adj	okay	I	I	Mother	I 'm not okay	30
learning	labeling	o	not	pro	yours	it	it	Target_Child	it 's not yours	30
learning	labeling	o	not	pro	yours	it	it	Target_Child	it 's not yours	30
learning	labeling	o	not	adj	big	it	it	Mother	it 's not too big	30
learning	labeling	o	not	adj	sure	I	I	Mother	I 'm not sure if that 'll fit me Becky	30
learning	labeling	o	not	adj	big	it	it	Target_Child	it 's not bit big	30
learning	labeling	o	n't	n	whale	NONE	NONE	Target_Child	is n't whale	30
learning	labeling	o	not	n	lump	I	I	Target_Child	I 'm not a big lump I 'm not	30
learning	labeling	o	not	n	lump	you	you	Mother	you 're not a big lump	30
learning	labeling	o	not	adj	sure	I	I	Mother	I 'm not quite sure what you want me to do	30
learning	labeling	o	not	pro	yours	they	they	Mother	they 're not yours	30
learning	labeling	o	not	n	catfood	it	it	Mother	it 's not catfood	30
learning	labeling	o	not	n	ghost	I	I	Target_Child	I 'm not a ghost	30
learning	labeling	o	not	n	mother	that	that	Target_Child	that 's not his mother	30
learning	labeling	o	n't	pro	what	NONE	NONE	Mother	that is n't what	30
learning	labeling	o	not	adj	red	it	it	Target_Child	it 's not like red Mum	30
learning	labeling	o	not	adj	fancy	baby	baby	Target_Child	Joanna's baby 's not fancy	35
learning	labeling	o	not	adj	all_gone	it	it	Mother	it 's not all_gone	30
learning	labeling	with	not	n	cartoon	it	it	Father	no this is the movie he man with it 's not cartoons and it 's not toys it 's actors	56
learning	labeling	cartoon	not	n	toy	it	it	Father	no this is the movie he man with it 's not cartoons and it 's not toys it 's actors	56
learning	labeling	nose	n't	n	dinosaur	animal	animal	Mother	well they have other animal noses that are n't dinosaurs	56
learning	labeling	o	not	n	parade	weekend	weekend	Mother	this weekend is not the parade	56
learning	labeling	o	not	n	face	it	it	Mother	well it 's not a very happy looking face	56
learning	labeling	o	not	adj	good	it	it	Mother	because it 's not good to stuff your face	56
learning	labeling	o	not	n	secret	it	it	Mother	it 's not a secret	59
learning	labeling	o	not	pro	one	one	one	Target_Child	this one is not one I do n't think	59
learning	labeling	o	not	pro	it	that	that	Mother	well that 's not a coach is it	25
learning	labeling	o	n't	pro	one	it	it	Mother	it was n't a little one	25
learning	labeling	o	not	n	size	they	they	Mother	they 're not the right size are they	25
learning	labeling	tow	no	n	magnet	tractor	tractor	Mother	the tractor ca n't tow them because there 's no magnet on it	25
learning	labeling	o	n't	pro	that	NONE	NONE	Mother	is n't that amazing	25
learning	labeling	o	not	adj	sure	I	I	Mother	I 'm not sure that 's a man actually	25
learning	labeling	o	not	adj	good	I	I	Mother	I 'm not very good with these am I Warren	25
learning	labeling	o	not	n	Nana	it	it	Mother	it 's not Nana	25
learning	labeling	o	n't	n	time	ones	one	Mother	which ones were n't here the last time	67
learning	labeling	look	not	n	dinosaur	it	it	Mother	I know it looks like a three horn it 's not a dinosaur but it 's a rhinoceros	67
learning	labeling	think	n't	n	home	I	I	Target_Child	oh I was starting to call you and I thought you were n't home	67
learning	labeling	o	n't	pro	that	NONE	NONE	Mother	is n't that sweet	67
learning	labeling	o	not	n	cup	that	that	Mother	that 's not an egg cup	30
learning	labeling	o	not	adj	sure	I	I	Mother	I 'm not sure if he is	30
learning	labeling	o	not	n	roundabout	that	that	Mother	that 's not a roundabout	30
learning	labeling	o	not	adj	happy	you	you	Mother	you 're not very happy with that chair are you Fraser	24
learning	labeling	o	n't	adj	nice	NONE	NONE	Mother	that was n't very nice	24
learning	labeling	o	not	n	animal	that	that	Mother	that 's not an animal	29
learning	labeling	o	not	pro	it	that	that	Mother	that 's not a good idea is it	29
learning	labeling	o	not	n	animal	I	I	Mother	I 'm not an animal	29
learning	labeling	o	not	adj	nice	it	it	Mother	it 's not nice	29
learning	labeling	o	n't	pro	that	NONE	NONE	Mother	is n't that pretty	24
learning	labeling	o	n't	adj	nice	NONE	NONE	Mother	that was n't very nice Fraser	24
learning	labeling	o	not	n	spider	that	that	Mother	that 's not a spider	24
learning	labeling	o	not	n	turn	it	it	Target_Child	no it 's not your turn	34
learning	labeling	o	not	n	candy	I	I	Target_Child	I 'm not a candy	34
learning	labeling	o	not	adj	dead	I	I	Target_Child	I 'm not dead	34
learning	labeling	o	not	n	pumpkin	you	you	Mother	you 're not real happy are you pumpkin	14
learning	labeling	o	n't	n	bear	NONE	NONE	Mother	is n't this one her dancing bear	31
learning	labeling	o	not	adj	sure	I	I	Mother	because I 'm not sure where to go	31
learning	labeling	o	not	adj	hungry	you	you	Mother	you 're not hungry are you	31
learning	labeling	use	not	adj	likely	we	we	Mother	we use these ones in here because they 're not likely to get on the floor then	31
learning	labeling	o	not	adj	blue	that	that	Target_Child	that 's not blue	31
learning	labeling	o	not	adj	blue	it	it	Target_Child	it 's not blue	31
learning	labeling	o	not	n	dog	I	I	Target_Child	because I 'm not a doggie	31
learning	labeling	o	not	n	dog	you	you	Mother	you 're not a doggie so I ca n't color your nose in	31
learning	labeling	o	not	n	magnet	it	it	Target_Child	it 's not a magnet	69
learning	labeling	o	not	n	metal	it	it	Mother	nope it 's not metal	69
learning	labeling	o	not	n	kind	it	it	Mother	it 's not the kind that will stick to a magnet	69
learning	labeling	o	not	n	metal	it	it	Mother	nope cause it 's not metal	69
learning	labeling	o	not	adj	hard	it	it	Target_Child	it 's not too hard	36
learning	labeling	o	not	n	boy	that	that	Father	Fraser that 's not a boy	36
learning	labeling	o	not	adj	nice	that	that	Target_Child	that 's not very nice is it	36
learning	labeling	o	not	adj	nice	he	he	Target_Child	maybe he 's not nice	36
learning	labeling	o	not	n	Mowgli	that	that	Father	that 's not Mowgli	36
learning	labeling	o	no	adj	good	that	that	Father	that 's no good is it	36
learning	labeling	o	not	adj	sure	I	I	Father	oh I 'm not sure they 're all here	36
learning	labeling	o	not	pro	one	it	it	Father	it 's not the right one though is it	36
learning	labeling	o	not	adj	nice	that	that	Father	that 's not very nice	36
learning	labeling	o	not	adj	bad	it	it	Father	it 's not that bad	36
learning	labeling	o	not	n	name	it	it	Mother	it 's not a name Marcus chooses though the parents choose it	38
learning	labeling	o	not	n	Dimitra	it	it	Mother	well it 's not Dimitra anymore	38
learning	labeling	o	not	n	wood	NONE	NONE	Mother	which is not really the wood but there are a lot of trees down either side	38
learning	labeling	o	not	adj	shy	you	you	Mother	why are you whispering you 're not shy are you	38
learning	labeling	o	n't	pro	she	she	she	Mother	oh she was n't a happy Mummy pussy cat was she	38
learning	labeling	o	not	adj	hot	it	it	Mother	oh it 's not too hot	38
learning	labeling	o	no	adj	good	it	it	Mother	it 's no good putting your hands over your face cause I can still see you	38
learning	labeling	o	not	adj	nice	it	it	Mother	it 's not really nice when Ben hits Charlotte but I think she 's quite tough is n't she	38
learning	labeling	o	not	n	garage	it	it	Mother	it 's not your garage is it	38
learning	labeling	o	not	n	Olive_Shapley	it	it	Mother	it 's not Olive_Shapley where you go this afternoon	38
learning	labeling	o	not	n	horse	that	that	Mother	that 's not what horses and donkeys say neigh	38
learning	labeling	be	n't	n	breakfast	it	it	Mother	you 're not having a bag of crisps because it 's breakfast and even if it 's was n't breakfast you 're not having any because you 've just said	38
learning	labeling	o	not	adj	ill	you	you	Mother	you 're not very ill you 've go hiccups	38
learning	labeling	o	not	adj	beautiful	I	I	Target_Child	I 'm not beautiful	24
learning	labeling	o	not	pro	what	it	it	Mother	it 's not what	24
learning	labeling	o	not	adj	nice	that	that	Mother	that 's not very nice	24
learning	labeling	o	not	adj	fun	it	it	Mother	Awww it 's not funny	24
learning	labeling	o	not	n	horse	that	that	Mother	that 's not a horse	24
learning	labeling	o	n't	adj	hungry	he	he	Mother	now he was n't hungry anymore and he was n't a little caterpillar anymore	24
learning	labeling	be	n't	n	caterpillar	he	he	Mother	now he was n't hungry anymore and he was n't a little caterpillar anymore	24
learning	labeling	o	not	adj	ready	I	I	Father	I 'm not quite ready	38
learning	labeling	o	not	n	Heb	that	that	Target_Child	that 's not my Heb	33
learning	labeling	o	not	n	horse	that	that	Mother	that 's not a horsie	33
learning	labeling	o	n't	adj	hungry	he	he	Mother	and now he was n't hungry anymore and he was n't a little caterpillar anymore	65
learning	labeling	anymore	n't	n	caterpillar	he	he	Mother	and now he was n't hungry anymore and he was n't a little caterpillar anymore	65
learning	labeling	o	not	adj	tall	elephants	elephant	Mother	Asian elephants are not as tall as their African cousins	65
learning	labeling	o	not	n	car	that	that	Target_Child	no that 's not my car	38
learning	labeling	o	not	n	microphone	it	it	Mother	oh it 's not a microphone what is it	18
learning	labeling	put	not	adj	ready	it	it	Target_Child	put it back in baby it 's not ready	37
learning	labeling	take	not	pro	yours	it	it	Target_Child	it 's not ready to take out baby it 's not yours too that 's mommy's stove	37
learning	labeling	be	not	n	food	that	that	Target_Child	yes that is that 's not baby food that 's big people's food and baby's food	37
learning	labeling	o	not	n	fish	I	I	Target_Child	no no I 'm not a fish like that	39
learning	labeling	o	not	pro	why	I	I	Father	I 'm not sure why	39
learning	labeling	o	not	n	snake	it	it	Father	oh it 's not a very nice snake is it	39
learning	labeling	o	not	n	high	I	I	Mother	I 'm not your highness I 'm your mother	67
learning	labeling	o	not	n	o'clock	that	that	Target_Child	oh that 's not a six o'clock	67
learning	labeling	o	not	adj	good	this	this	Mother	this is not good	17
learning	labeling	o	not	adj	sure	I	I	Mother	I 'm not sure	33
learning	labeling	o	n't	adj	sure	I	I	Mother	because I was n't sure	33
learning	labeling	o	n't	pro	yourself	you	you	Mother	you were n't awful well yourself the last time that you were here	33
learning	labeling	know	n't	pro	myself	I	I	Mother	I knew I was n't right myself	33
learning	labeling	o	n't	n	home	I	I	Mother	I was n't home from work that night	33
learning	labeling	o	not	pro	one	I	I	Mother	I 'm not one	33
learning	labeling	o	not	n	do	she	she	Mother	hm she 's not doing too badly	33
learning	labeling	o	not	n	buy	I	I	Mother	I 'm not buying one	33
learning	labeling	o	not	n	trouser	they	they	Target_Child	they 're not trousers	33
learning	labeling	o	no	n	angel	I	I	Mother	I am no angel	33
learning	labeling	fault	not	n	thing	NONE	NONE	Mother	and for all Peter's faults that 's not a thing he uses in front of her either	33
learning	labeling	o	not	n	snake	that	that	Mother	that 's not a snake	30
learning	labeling	o	not	n	shirt	that	that	Mother	that 's not a shirt	24
learning	labeling	o	not	pro	yours	that	that	Mother	that 's not yours	24
learning	labeling	o	not	n	Goofy	that	that	Mother	that 's not Goofy	30
learning	labeling	o	no	n	place	church	church	Mother	now a church is no place for a balloon	55
learning	labeling	o	n't	adj	hungry	he	he	Mother	now he was n't hungry anymore and he was n't a little caterpillar anymore	55
learning	labeling	be	n't	n	caterpillar	he	he	Mother	now he was n't hungry anymore and he was n't a little caterpillar anymore	55
learning	labeling	o	not	adj	bad	it	it	Target_Child	it 's not bad anymore because he 's cold	55
learning	labeling	o	n't	n	cat	it	it	Mother	it is n't a cat	24
learning	labeling	o	not	n	bee	it	it	Mother	it 's not a bee at all	24
learning	labeling	o	not	n	fly	it	it	Mother	no it 's not a fly	24
learning	labeling	o	not	n	pen	it	it	Mother	it 's not a pen	24
learning	labeling	o	not	n	man	it	it	Mother	it 's not a man at all	24
learning	labeling	o	not	n	kite	it	it	Mother	it 's not a kite no	24
learning	labeling	o	not	adj	sure	I	I	Mother	I 'm not sure this is	24
learning	labeling	be	n't	n	boat	I	I	Mother	I 'm afraid there is n't a boat on here	24
learning	labeling	o	not	n	floor	it	it	Mother	it 's not the floor	24
learning	labeling	o	not	adj	nice	that	that	Mother	well that 's not very nice is it	24
learning	labeling	o	no	n	use	it	it	Mother	well it 's no use out here is it	24
learning	labeling	o	not	adj	nice	they	they	Mother	they 're not very nice at all	24
learning	labeling	o	n't	n	dress	NONE	NONE	Mother	yes but is n't this a pretty blue dress	24
learning	labeling	o	not	adj	dead	it	it	Mother	it 's not dead yet	24
learning	labeling	o	not	n	stop	that	that	Mother	that 's not the bus stop	24
learning	labeling	o	not	adj	green	it	it	Mother	it 's not actually green	24
learning	labeling	o	not	n	banana	it	it	Mother	it 's not a banana is it	24
learning	labeling	o	no	n	being	it	it	Mother	it 's no use being sorry afterwards Aran	24
learning	labeling	o	not	pro	they	they	they	Mother	they 're not are they	24
learning	labeling	o	not	n	boat	that	that	Mother	that 's not your boat darling	24
learning	labeling	o	not	adj	same	horse	horse	Target_Child	the horse is not the same like the storm troopers	43
learning	labeling	o	not	adj	strong	they	they	Target_Child	cause they 're not strong	43
learning	labeling	o	not	adj	strong	they	they	Target_Child	cause they 're not strong	43
learning	labeling	o	not	adj	strong	they	they	Father	they 're not strong	43
learning	labeling	o	not	n	way	balloon	balloon	Mother	the balloon is not safe that way	51
learning	labeling	o	not	adj	safe	it	it	Mother	it 's not safe	51
learning	labeling	o	not	adj	green	it	it	Father	no it s not green	25
learning	labeling	o	not	adj	green	it	it	Father	it s not green	25
learning	labeling	o	not	adj	green	it	it	Father	no it s not green	25
learning	labeling	o	not	pro	one	that	that	Father	that s not a green one	25
learning	labeling	o	n't	adj	smooth	he	he	Mother	he was n't quite as smooth as Pingu's jump	55
learning	labeling	o	not	adj	happy	I	I	Mother	I 'm not very happy about having to clear this mess	55
learning	labeling	o	not	n	a	that	that	Mother	that 's not an a that 's a v	55
learning	labeling	o	not	n	idea	it	it	Mother	it 's not a stupid idea	55
learning	labeling	o	not	n	baby	you	you	Mother	you 're not a baby	55
learning	labeling	know	not	n	o'clock	I	I	Mother	I know but it 's not ten o'clock the same day is it	55
learning	labeling	o	n't	adj	wind	it	it	Target_Child	but it is n't windy	55
learning	labeling	o	not	adj	ripe	it	it	Mother	it 's not particularly ripe yet	55
