Domain	Function	Head	Negator	Aux	Aux_stem	Subj	Subj_stem	Role	Utterance	Age
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know with the top	24
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know if these shoes 'll fit	24
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think these shoes fit	24
theory of mind	epistemic	think	n't	ca	can	NONE	NONE	Mother	ca n't think	56
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think it 's too bad actually Peter do you	56
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think that angel 's to stay on there	56
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	56
theory of mind	epistemic	think	n't	do	do	NONE	NONE	Target_Child	do n't think so	56
theory of mind	epistemic	know	n't	do	do	NONE	NONE	Target_Child	well do n't know what	56
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	56
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know whether it 's lunchtime or teatime	56
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know what	56
theory of mind	epistemic	know	n't	do	do	I	I	Mother	because I do n't know where the switch is	56
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	56
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	56
theory of mind	epistemic	know	n't	do	do	I	I	Mother	Thomas I do n't know whether Daddy heard this story but	56
theory of mind	epistemic	remember	n't	could	could	he	he	Mother	he could n't remember if he was putting the lights up or cooking	56
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know what did you do with it	56
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think while Daddy 's plugging them up	56
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know whether he will actually	56
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think he does really Thomas	56
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think he 'll be looking after the country tonight	56
theory of mind	epistemic	know	n't	do	do	NONE	NONE	Target_Child	do n't know	56
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know why but royal little snooze	56
theory of mind	epistemic	know	n't	do	do	NONE	NONE	Target_Child	do n't know	56
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know why	56
theory of mind	epistemic	think	n't	do	do	I	I	Mother	you are n't spos ta be over there I do n't think	12
theory of mind	epistemic	know	n't	does	do	kid	kid	Mother	this kid does n't know what to think of it	14
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know if you can	14
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think they 'll be broken either	39
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know what a book is	39
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know what you 're talking about Lara	39
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think she does	39
theory of mind	epistemic	think	n't	do	do	I	I	Father	I do n't think so	39
theory of mind	epistemic	know	n't	do	do	I	I	Father	I do n't know	39
theory of mind	epistemic	know	n't	do	do	you	you	Target_Child	you do n't know where it is	39
theory of mind	epistemic	think	n't	do	do	I	I	Mother	right I do n't think they 'll fit in there sweetheart	57
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think that was gas canisters like that though	57
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	57
theory of mind	epistemic	know	n't	do	do	you	you	Mother	you do n't know though	57
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	57
theory of mind	epistemic	know	n't	do	do	I	I	Mother	just let me put this fur in the bin and wash my hands Thomas because I do n't know what it was on her tail	57
theory of mind	epistemic	know	n't	did	do	I	I	Mother	I must say I did n't know	57
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know what she	57
theory of mind	epistemic	think	n't	do	do	I	I	Mother	but I do n't think I 'd manage to carry a big one home do you	57
theory of mind	epistemic	think	n't	do	do	I	I	Mother	oh I do n't think I can manage that	57
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think I can manage sixty hundred though	57
theory of mind	epistemic	think	n't	do	do	you	you	Mother	you do n't think it 's because we keep spraying all these air fresheners around that it 's making Purdie sneeze do you	57
theory of mind	epistemic	think	n't	do	do	I	I	Mother	mind you I do n't think they 'll actually find them because you 've got them hidden in that secret air freshener cupboard have n't you	57
theory of mind	epistemic	know	n't	do	do	NONE	NONE	Target_Child	do n't know	57
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	57
theory of mind	epistemic	think	n't	did	do	I	I	Mother	I did n't think you did	57
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know where it goes	61
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think it 's gon na come off	18
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think that 's right	49
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	49
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	49
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know where they are	49
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	49
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	49
theory of mind	epistemic	know	n't	did	do	you	you	Mother	you did n't know where it went	49
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	49
theory of mind	epistemic	think	n't	do	do	I	I	Target_Child	I do n't think I have it in the right way	49
theory of mind	epistemic	know	n't	do	do	I	I	Mother	no I do n't know what a grabby boat is	49
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know what it is	49
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I ca n't I do n't know how to do this	49
theory of mind	epistemic	know	n't	do	do	you	you	Mother	you do n't know	49
theory of mind	epistemic	remember	n't	do	do	you	you	Mother	you do n't remember	49
theory of mind	epistemic	know	n't	do	do	I	I	Mother	because I do n't know that much about fishing	49
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know how you stand em up in there	49
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think you have the barn quite finished yet	49
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know what directions we need	49
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	49
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know how we gon na get out	49
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	49
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know how to play that	49
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think I 'd like to hide under the bulldozer	49
theory of mind	epistemic	know	n't	do	do	NONE	NONE	Father	what about little children that do n't know how to speak yet	65
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think she really plays with it too much	24
theory of mind	epistemic	think	n't	do	do	she	she	Mother	does she have one that she liked I do n't think so	24
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think I 've named a swan for her before	24
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think we have any kiwi at home	24
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think we have any icecream	24
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think we have any muffins	24
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know what you 're tryin to get me to say here phone okay it 's callin so	24
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think that anyone's gon na care I know what you mean	24
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think so we just do it for the I_mean we use ta live five minutes away so it was a_lot easier	24
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think we ever saw one of those here 's an ostrich	24
theory of mind	epistemic	remember	n't	ca	can	I	I	Mother	I ca n't remember now	26
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	26
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	26
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think we 've ever had so many strawberries	26
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think she can make her mind up	26
theory of mind	epistemic	know	n't	do	do	I	I	Mother	oh I do n't know the word for them	26
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know about the park	26
theory of mind	epistemic	remember	n't	ca	can	I	I	Mother	I ca n't remember what to do Thomas	26
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think you could drink this though	26
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think really they need cleaning because they 've just been sitting in solution for the past few weeks have n't they	26
theory of mind	epistemic	know	n't	do	do	you	you	Mother	you do n't know what you 're throwing do you	26
theory of mind	epistemic	remember	n't	ca	can	you	you	Mother	you sing it because Mummy ca n't remember the words	26
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know what the elephant's name is	24
theory of mind	epistemic	think	n't	do	do	NONE	NONE	Mother	do n't think you 're just going eat that bread and nothing else	58
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	58
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	21
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know what you call this	21
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know what that is	21
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think that 's gon na be	21
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think that 's one of the big ones you can ride on Aislinn	21
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	21
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think you 'll both fit	21
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know I forgot	58
theory of mind	epistemic	remember	n't	ca	can	you	you	Mother	say the days of the week if you ca n't remember	58
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know let 's see	58
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	58
theory of mind	epistemic	know	n't	did	do	he	he	Mother	when he opened his eyes he did n't know where he was at first then he saw what had awakened him	58
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	36
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	36
theory of mind	epistemic	know	n't	did	do	I	I	Mother	I did n't know that rhymed	36
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	36
theory of mind	epistemic	know	n't	do	do	you	you	Mother	you do n't know	36
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know why she wakes up early but she does	36
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	36
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	58
theory of mind	epistemic	remember	n't	do	do	I	I	Mother	I do n't remember this	58
theory of mind	epistemic	know	n't	did	do	you	you	Mother	you did n't know what it was and I told you	58
theory of mind	epistemic	know	n't	did	do	she	she	Mother	she did n't know what hippopotamus was	58
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know how to	58
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know that what I do n't know what I what happened to him I do n't know what happened to my daddy	31
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know that what I do n't know what I what happened to him I do n't know what happened to my daddy	31
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know that what I do n't know what I what happened to him I do n't know what happened to my daddy	31
theory of mind	epistemic	know	n't	ca	can	I	I	Target_Child	I ca n't know how to do it I ca n't know how	31
theory of mind	epistemic	know	n't	ca	can	I	I	Target_Child	I ca n't know how to do it I ca n't know how	31
theory of mind	epistemic	think	n't	do	do	I	I	Mother	oh I do n't think we have enough v to spell vavuvuvi	22
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know I think that 's in the other room	22
theory of mind	epistemic	know	n't	do	do	gon	go	Mother	who 's gon na get him out is right I do n't know who 's gon na get him out	22
theory of mind	epistemic	think	n't	do	do	I	I	Mother	oh I do n't think so I think he 's here he wears a helmet	22
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know what what letters you are talking about	22
theory of mind	epistemic	think	n't	ca	can	I	I	Mother	I ca n't think of anything	22
theory of mind	epistemic	think	n't	do	do	I	I	Mother	oh I do n't think nursie's with his Mommy	22
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think he does	22
theory of mind	epistemic	know	n't	do	do	I	I	Mother	well I do n't know where it is we can look for it together	22
theory of mind	epistemic	think	n't	do	do	I	I	Mother	yeah I do n't think he 's crying	24
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think Tigger will fit underneath there	24
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think bot_bots make any noise do they Fraser	24
theory of mind	epistemic	remember	n't	ca	can	I	I	Mother	I bet you ca n't remember what their Mummy's called	24
theory of mind	epistemic	know	n't	do	do	you	you	Mother	you do n't know	30
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	30
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	30
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	14
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	67
theory of mind	epistemic	think	n't	do	do	it	it	Mother	it 's up to you but I do n't think that you need your blanket anymore	43
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	45
theory of mind	epistemic	know	n't	do	do	babies	baby	Mother	because he 's a newborn baby and newborn babies do n't know how to fly yet	45
theory of mind	epistemic	know	not	did	do	he	he	Mother	he did not know what his mother looked like	45
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	29
theory of mind	epistemic	know	n't	do	do	NONE	NONE	Target_Child	mm do n't know	29
theory of mind	epistemic	know	n't	do	do	you	you	Mother	you do n't know	29
theory of mind	epistemic	know	n't	do	do	you	you	Mother	you do n't know	29
theory of mind	epistemic	know	n't	do	do	NONE	NONE	Target_Child	do n't know	29
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know what that is	29
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	29
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	29
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think you can	29
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	29
theory of mind	epistemic	think	n't	ca	can	I	I	Target_Child	I ca n't think	29
theory of mind	epistemic	know	n't	do	do	I	I	Father	I do n't know how they go	33
theory of mind	epistemic	know	n't	do	do	I	I	Father	I do n't know how they go	33
theory of mind	epistemic	know	n't	did	do	she	she	Mother	she did n't know he actually did it	59
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know if other kids do this but and you just haf ta mention one thing and she then will go remember everything that she knows about about the beach or about keys	20
theory of mind	epistemic	know	n't	do	do	I	I	Mother	and now they 're either boys or girls depending on I do n't know what	20
theory of mind	epistemic	think	n't	do	do	I	I	Mother	it 's hard I do n't think she really distinguishes them	20
theory of mind	epistemic	know	n't	does	do	I	I	Mother	and so she knows that I do and the brush although I use a brush for her hair not that often she does n't know a brush I did n't think she knew the brush	20
theory of mind	epistemic	think	n't	did	do	she	she	Mother	and so she knows that I do and the brush although I use a brush for her hair not that often she does n't know a brush I did n't think she knew the brush	20
theory of mind	epistemic	know	n't	did	do	I	I	Target_Child	cause I did n't know want want them	60
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think they start school tomorrow do they	29
theory of mind	epistemic	think	not	NONE	NONE	you	you	Mother	do you not think she does	29
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	45
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think it goes in there	45
theory of mind	epistemic	know	n't	do	do	you	you	Mother	I do n't know how do you	45
theory of mind	epistemic	think	not	NONE	NONE	we	we	Mother	is there something else we can do that a Mommy s not thinking of	13
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know what to call it	13
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	13
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think so	29
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know yet	29
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think we have anymore grape you want strawberry	48
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think that goes next does it	24
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	24
theory of mind	epistemic	remember	n't	ca	can	NONE	NONE	Mother	ca n't remember the little girl's name	24
theory of mind	epistemic	know	n't	do	do	zero	zero	Target_Child	zero do n't know	29
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think the piggy 'll be able to ride on the train though will he	30
theory of mind	epistemic	know	n't	do	do	NONE	NONE	Target_Child	do n't know	30
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	30
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	30
theory of mind	epistemic	know	n't	do	do	you	you	Mother	you do n't know	30
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	30
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	30
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know words	30
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	30
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think I know any more	30
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	30
theory of mind	epistemic	know	n't	do	do	you	you	Mother	you do n't know	30
theory of mind	epistemic	know	n't	do	do	NONE	NONE	Target_Child	do n't know	30
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	30
theory of mind	epistemic	remember	n't	ca	can	we	we	Mother	but we ca n't remember any more	30
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	30
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	30
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think that comes out does it	30
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	30
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think you 'll be able to stand him up	30
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think he 'll stand up on the table Becky	30
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	30
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think Sukie wants the goose	30
theory of mind	epistemic	think	n't	do	do	I	I	Mother	it 's not quite on right I do n't think	30
theory of mind	epistemic	know	n't	do	do	NONE	NONE	Mother	do n't know	30
theory of mind	epistemic	think	n't	do	do	you	you	Mother	you have a he man sweat shirt but I do n't think the he man movie is good for you	56
theory of mind	epistemic	know	n't	do	do	I	I	Father	I do n't know if it 's possible to get selastic anymore	56
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know but well my mom had ta put some more clothes on me	68
theory of mind	epistemic	think	n't	do	do	I	I	Target_Child	no I do n't think anything happened like that	68
theory of mind	epistemic	think	n't	do	do	I	I	Target_Child	well because actually I do n't think Firstname can	59
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	59
theory of mind	epistemic	know	n't	do	do	it	it	Target_Child	yeah it 's inside but I do n't know what it is	59
theory of mind	epistemic	think	n't	do	do	I	I	Target_Child	this one is not one I do n't think	59
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	59
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	59
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	59
theory of mind	epistemic	think	n't	do	do	I	I	Target_Child	no I do n't think so	59
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	59
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think there are any coaches missing	25
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know that there were two men in here were there	25
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know if a man would have a little ribbon with a bow tied round his neck but	25
theory of mind	epistemic	know	n't	did	do	I	I	Mother	I did n't know we 'd got a cat	25
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know if there 's space for the baby tiger	25
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	67
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think they have one buddy	67
theory of mind	epistemic	know	n't	do	do	NONE	NONE	Target_Child	do n't know	30
theory of mind	epistemic	know	n't	do	do	you	you	Mother	you do n't know	30
theory of mind	epistemic	know	not	might	might	NONE	NONE	Mother	might not know what a nest looks like	30
theory of mind	epistemic	know	n't	do	do	you	you	Mother	you do n't know what an egg cup is do you	30
theory of mind	epistemic	think	n't	do	do	I	I	Mother	because I do n't think	30
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think that you did	30
theory of mind	epistemic	know	n't	do	do	you	you	Mother	because you do n't know about those yet	30
theory of mind	epistemic	know	n't	does	do	she	she	Mother	because I bet she does n't know	30
theory of mind	epistemic	know	n't	does	do	I	I	Mother	I bet she does n't know what Anne starts with	30
theory of mind	epistemic	think	n't	ca	can	NONE	NONE	Mother	ca n't think of anything else to do	30
theory of mind	epistemic	think	n't	did	do	you	you	Mother	you did n't think much of that did you	30
theory of mind	epistemic	remember	n't	do	do	I	I	Target_Child	I do n't remember	30
theory of mind	epistemic	remember	n't	do	do	I	I	Target_Child	I do n't remember	30
theory of mind	epistemic	remember	n't	do	do	you	you	Mother	you do n't remember how it was done	30
theory of mind	epistemic	know	n't	do	do	NONE	NONE	Mother	do n't know	30
theory of mind	epistemic	think	n't	do	do	NONE	NONE	Mother	do n't think the Mummy 'll fit in as_well though	30
theory of mind	epistemic	remember	n't	ca	can	NONE	NONE	Mother	ca n't remember	30
theory of mind	epistemic	think	n't	do	do	NONE	NONE	Mother	do n't think Mr_Hippo 's going to let him	30
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	30
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	30
theory of mind	epistemic	think	n't	ca	can	I	I	Mother	I ca n't think	30
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	29
theory of mind	epistemic	know	n't	do	do	NONE	NONE	Mother	do n't know	29
theory of mind	epistemic	know	n't	do	do	NONE	NONE	Target_Child	do n't know	29
theory of mind	epistemic	know	n't	do	do	NONE	NONE	Mother	do n't know	29
theory of mind	epistemic	know	n't	do	do	NONE	NONE	Mother	do n't know where they are	29
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	29
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think there 's much else up here	29
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	29
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	29
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think she 's brought one for Caroline	29
theory of mind	epistemic	know	n't	do	do	I	I	Mother	got so many coats I do n't know which one you mean	29
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	29
theory of mind	epistemic	think	n't	do	do	NONE	NONE	Mother	do n't think the children will be playing outside today will they	29
theory of mind	epistemic	know	n't	did	do	NONE	NONE	Mother	did n't know you knew what a turkey was	29
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	29
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know you tell me	24
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know darling I ca n't see	24
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know what is it	24
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	because I do n't know where it is now	31
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	because I do n't know where it is in there	31
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know whether that 's alright	31
theory of mind	epistemic	know	n't	do	do	babys	baby	Mother	babys do n't know any better do they	31
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	31
theory of mind	epistemic	know	n't	will	will	we	we	Mother	we will n't know the way if you eat the map will we	31
theory of mind	epistemic	remember	n't	do	do	I	I	Mother	I do n't remember seeing a doggy at all before	31
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think he 's white really	31
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	31
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know what you 've done	31
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think Jade hit you	31
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	69
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know whether Rita will be there	23
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	36
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	36
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	36
theory of mind	epistemic	know	n't	do	do	I	I	Target_Child	I do n't know	36
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	36
theory of mind	epistemic	know	n't	do	do	NONE	NONE	Mother	do n't know	36
theory of mind	epistemic	think	n't	do	do	I	I	Mother	I do n't think he will	36
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	36
theory of mind	epistemic	know	n't	do	do	I	I	Mother	I do n't know	36
